Kana,Kanji,Type,Definition/s
つめ,爪,n,"fingernail or toenail,claw,talon,hoof"
つめたい,冷たい,adj,"cold (to the touch),chilly,icy,freezing,coldhearted"
つめる,詰める,v1,"to pack,to shorten,to work out (details)"
つもり,,n,"intention,plan"
つもる,積もる,v5r,to pile up
つや,艶,n,"gloss,glaze"
つゆ,梅雨,n,"rainy season,rain during the rainy season"
つよい,強い,adj,"strong,powerful,mighty,potent"
つよき,強気,"adj-na,n","firm,strong"
つらい,辛い,adj,"painful,heart-breaking"
~づらい,~辛い,,
つり,釣,,
つり,釣,,
つりあう,釣り合う,v5u,"to balance,to be in harmony,to suit"
つる,釣る,v5r,to fish
つる,吊る,v5r,to hang
つるす,吊す,v5s,to hang
つれ,連れ,"n,vs","companion,company"
つれる,連れる,v1,"to lead,to take (a person)"
て,手,n,hand
で,,"n,n-suf","outflow,coming (going) out,graduate (of)"
であい,出会い,n,"meeting,rendezvous,encounter"
であい,出合い,n,an encounter
であう,出会う,v5u,"to meet by chance,to come across,to happen to encounter"
てあらい,手洗い,n,"restroom,lavatory,hand-washing"
てい~,低~,,
ていあん,提案,"n,vs","proposal,proposition,suggestion"
ていいん,定員,n,"fixed number of regular personnel,capacity (of boat, etc.)"
ていか,定価,n,established price
ていか,低下,"n,vs","fall,decline,lowering,deterioration"
ていき,定期,n,fixed term
ていきけん,定期券,n,"commuter pass,season ticket"
ていきゅうび,定休日,n,regular holiday
ていこう,抵抗,"n,vs","electrical resistance,resistance,opposition"
ていし,停止,"n,vs","suspension,interruption,stoppage,ban"
ていしゃ,停車,"n,vs",stopping (e.g. train)
ていしゅつ,提出,"n,vs","presentation,submission,filing"
ていでん,停電,"n,vs",failure of electricity
ていど,程度,"n-adv,n,n-suf","degree,amount,grade,standard,of the order of (following a number)"
ていねい,丁寧,"adj-na,n","polite,courteous"
でいり,出入り,n,"in and out,coming and going,free association,income and expenditure,debits and credit"
でいりぐち,出入口,n,exit and entrance
ていりゅうじょ,停留所,n,bus or tram stop
ていれ,手入れ,n,"repairs,maintenance"
デート,,"n,vs","date,go on a date"
テープ,,n,tape
テーブル,,n,table
テープレコーダー,,n,tape recorder
テーマ,,de:,"(n) theme,project,topic (de: Thema)"
でかける,出掛ける,v1,"to depart,to set out,to start,to be going out"
てき,敵,n,"enemy,rival"
~てき,~的,,
できあがり,出来上がり,n,"be finished,ready,made for,cut out"
できあがる,出来上がる,v5r,"(1) to be finished,to be ready,by definition,(2) to be very drunk"
てきかく,的確,"adj-na,n","precise,accurate"
てきかく,適確,"adj-na,n","precise,accurate"
できごと,出来事,n,"incident,affair,happening,event"
テキスト,,n,"(1) text,(2) text book"
てきする,適する,vs-s,"to fit,to suit"
てきせつ,適切,"adj-na,n","pertinent,appropriate,adequate,relevance"
てきど,適度,"adj-na,n",moderate
てきとう,適当,"adj-na,n","fitness,suitability,adequacy,relevance"
てきよう,適用,n,applying
（可能。出現。発生）,できる,v1,"to be able to,to be ready,to occur"
できるだけ,出来るだけ,,if at all possible
できれば,,,
でぐち,出口,n,"exit,gateway,way out,outlet,leak,vent"
てくび,手首,n,wrist
でこぼこ,凸凹,"adj-na,n","unevenness,roughness,ruggedness"
てごろ,手頃,"adj-na,n","moderate,handy"
でし,弟子,n,"pupil,disciple,adherent,follower,apprentice,young person,teacher's student-helper"
てじな,手品,n,"sleight of hand,conjuring trick,magic,juggling"
ですから,,conj,therefore
テスト,,"n,vs",test
でたらめ,,"adj-na,n","(1) irresponsible utterance,nonsense,nonsensical,(2) random"
てちょう,手帳,n,notebook
てつ,鉄,n,iron
てつがく,哲学,n,philosophy
てっきょう,鉄橋,n,"railway bridge,iron bridge"
てつだい,手伝い,n,"help,helper,assistant"
てつだう,手伝う,v5u,"to help,to assist,to take part in"
てつづき,手続き,"n,vs","procedure,(legal) process,formalities"
てってい,徹底,n,"thoroughness,completeness"
てつどう,鉄道,n,railroad
てっぽう,鉄砲,n,gun
てつや,徹夜,n,"all night,all night vigil,sleepless night"
テニス,,n,tennis
テニスコート,,,tennis court
てぬぐい,手拭い,n,(hand) towel
では,では,n,"chance of going out,opportunity (to succeed),moment of departure,beginning of work"
デパート,,n,(abbr) department store
てぶくろ,手袋,n,glove
てま,手間,n,"time,labour"
てまえ,手前,n,"before,this side,we,you"
でむかえ,出迎え,n,"meeting,reception"
でむかえる,出迎える,v1,"to meet,to greet"
でも,でも,"conj,prt","but,however"
デモ,,n,"(abbr) demo,demonstration"
てら,寺,n,temple
てらす,照らす,v5s,"to shine on,to illuminate"
てる,照る,"v5r,vi",to shine
でる,出る,v1,"to appear,to come forth,to leave"
テレビ,,n,"television,TV"
てん,点,"n,n-suf","spot,mark,point,dot"
~てん,~点,,
てんいん,店員,n,"shop assistant,employee,clerk,salesperson"
てんかい,展開,"n,vs","develop,expansion (opposite of compression)"
てんき,天気,n,"weather,the elements,fine weather"
でんき,電気,n,"electricity,(electric) light"
でんき,伝記,n,"biography,life story"
でんきゅう,電球,n,light bulb
てんけい,典型,"adj-no,n","type,pattern,archetypal"
てんこう,天候,n,weather
でんし,電子,n,electron
でんしゃ,電車,n,electric train
てんすう,点数,n,"marks,points,score,runs"
でんせん,伝染,n,contagion
でんち,電池,n,battery
てんてん,点々,"adv,n","here and there,little by little"
てんてん,転々,,
でんちゅう,電柱,n,"telephone pole,telegraph pole,lightpole"
テント,,n,tent
でんとう,電灯,n,electric light
でんとう,伝統,n,"tradition,convention"
てんねん,天然,n,"nature,spontaneity"
てんのう,天皇,n,Emperor of Japan
でんぱ,電波,n,electro-magnetic wave
テンポ,,n,tempo
でんぽう,電報,n,telegram
てんらんかい,展覧会,n,exhibition
でんりゅう,電流,n,electric current
でんりょく,電力,n,electric power
でんわ,電話,"n,vs",telephone
と,戸,n,door (Japanese style)
と,都,n,capital
ど,度,"n,n-suf",counter for occurrences
ドア,,n,door (Western style)
とい,問い,n,"question,query"
といあわせ,問い合わせ,n,"enquiry,ENQ"
トイレ,,n,"toilet,restroom,bathroom,lavatory"
とう,党,"n,n-suf",party (political)
とう,塔,"n,n-suf","tower,pagoda"
~とう,~頭,,
~とう,~等,,
~とう,~島,,
（接。副）,どう,,"child,servant,foolishness"
どう,銅,n,copper
どう~,同~,,
~どう,~道,,
とうあん,答案,n,"examination paper,examination script"
（感）,どういたしまして,int,"you are welcome,don't mention it"
とういつ,統一,"n,vs","unity,consolidation,uniformity"
どういつ,同一,"adj-na,adj-no,n","identity,sameness,similarity"
どうか,,n,copper coin
どうかく,同格,"adj-na,n","the same rank,equality,apposition"
どうぐ,道具,n,"implement,tool,means"
とうげ,峠,"n,n-suf","ridge,(mountain) pass,difficult part"
とうけい,統計,,"scattering,a scatter,dispersion"
どうさ,動作,n,"action,movements,motions,bearing,behaviour,manners"
とうざい,東西,n,"East and West,whole country"
とうじ,当時,"n-adv,n-t","at that time,in those days"
どうし,動詞,n,verb
どうじ,同時,"adj-no,n","simultaneous(ly),concurrent,same time,synchronous"
とうじつ,当日,"n-adv,n-t","appointed day,very day"
どうして,,"adv,int","why?,for what reason,how"
どうしても,,adv,"by all means,at any cost,no matter what"
とうしょ,投書,n,"letter to the editor,letter from a reader,contribution"
とうじょう,登場,"n,vs",entry (on stage)
どうせ,,adv,"anyhow,in any case,at any rate"
どうぞ,,adv,"please,kindly,by all means"
どうぞよろしく,,exp,pleased to meet you
とうだい,灯台,n,lighthouse
とうちゃく,到着,"n,vs",arrival
とうとう,,,"vast,calm"
どうとく,道徳,n,morals
とうなん,盗難,n,"theft,robbery"
とうばん,当番,n,being on duty
とうひょう,投票,"n,vs","voting,poll"
どうぶつ,動物,n,animal
とうぶん,等分,"n,vs",division into equal parts
とうめい,透明,"adj-na,n","transparency,cleanness"
どうも,,"adv,int","(abbr) thanks,how,(very) much"
とうゆ,灯油,n,"lamp oil,kerosene"
とうよう,東洋,n,Orient
どうよう,同様,"adj-na,n","identical,equal to,same (kind),like"
どうよう,童謡,n,"children's song,nursery rhyme"
どうりょう,同僚,n,"coworker,colleague,associate"
どうろ,道路,n,"road,highway"
どうわ,童話,n,fairy tale
とお,十,num,"10,ten"
とおい,遠い,adj,"far,distant"
とおす,通す,v5s,"to let pass,to overlook,to continue"
とおり,通り,n-suf,"in accordance with ~,following ~,~ Street,~ Avenue"
とおり,通り,n-suf,"in accordance with ~,following ~,~ Street,~ Avenue"
~とおり,~通り,,
とおりかかる,通り掛かる,v5r,to happen to pass by
とおりすぎる,通り過ぎる,v1,"to pass,to pass through"
とおる,通る,v5r,"to pass (by),to go through,to walk along,to pass exams"
とかい,都会,n,city
とかす,溶かす,"v5s,vt","to melt,to dissolve"
とがる,尖る,v5r,"to taper to a point,to become sharp,to be sour,to look displeased"
とき,時,"n-adv,n","(1) time,hour,(2) occasion,moment"
ときどき,時々,"adv,n",sometimes
どきどき,,"adv,n,vs","throb,beat (fast)"
とく,溶く,"v5k,vt",to dissolve (paint)
とく,解く,v5k,to unfasten
どく,退く,"v5k,vi","(1) to retreat,to recede,to withdraw"
どく,毒,n,"poison,toxicant"
とくい,得意,"adj-na,n","pride,triumph,prosperity"
とくしゅ,特殊,"adj-na,n","special,unique"
どくしょ,読書,n,reading
とくしょく,特色,n,"characteristic,feature"
どくしん,独身,n,"bachelorhood,single,unmarried,celibate"
とくちょう,特徴,n,"feature,characteristic"
とくちょう,特長,n,"forte,merit"
とくてい,特定,"adj-na,n,vs","specific,special,particular"
どくとく,独特,"adj-na,n","peculiarity,uniqueness,characteristic"
とくに,特に,adv,"particularly,especially"
とくばい,特売,"n,vs",special sale
とくべつ,特別,"adj-na,adv,n",special
どくりつ,独立,"adj-na,n","independence (e.g. Ind. Day),self-support"
とけい,時計,n,"watch,clock"
とけこむ,溶け込む,v5m,to melt into
とける,溶ける,"v1,vi","to melt,to thaw,to fuse,to dissolve"
とける,解ける,v1,"to come untied,to come apart"
どける,退ける,v1,"to remove,to take away,to dislodge,to put something out of the way"
どこ,,n,"where,what place"
どこか,,"adv,exp,n","somewhere,anywhere"
とこのま,床の間,n,alcove
とこや,床屋,n,barber
ところ,所,n,place
~ところ,,,
ところが,,conj,"however,while,even if"
ところで,,,"by the way,even if,no matter what"
ところどころ,所々,"n-adv,n-t","here and there,some parts (of something)"
とざん,登山,"n,vs",mountain-climbing
とし,年,"n-adv,n","year,age"
とし,都市,n,"town,city,municipal,urban"
としつき,年月,n,months and years
としょ,図書,n,books
としより,年寄,n,"old people,the aged"
とじる,閉じる,v1,"to close (e.g. book, eyes),to shut"
としん,都心,n,heart (of city)
とだな,戸棚,n,"cupboard,locker,closet,wardrobe"
とたん,途端,n,"just (now, at the moment, etc.)"
とち,土地,n,"plot of land,lot,soil"
とちゅう,途中,"n-adv,n-t","on the way,en route,midway"
どちら,,n,"which (of two),who"
どっち,,n,"which way,which one"
とっきゅう,特急,n,"limited express (train, faster than an express)"
とっくに,,adv,"long ago,already,a long time ago"
とつぜん,突然,"adj-na,adj-no,adv","abruptly,suddenly,unexpectedly,all at once"
どっと,,adv,suddenly
トップ,,n,top
とても,,adv,"very,awfully,exceedingly"
とどく,届く,"v5k,vi",to reach
とどける,届ける,v1,"to deliver,to forward,to send,to report"
ととのう,整う,v5u,"to be prepared,to be in order,to be put in order,to be arranged"
とどまる,留まる,v5r,"(1) to be fixed,(2) to abide,to stay (in the one place)"
どなた,,n,who?
となり,隣,n,"next to,next door to"
どなる,,v5r,"to shout,to yell"
とにかく,,adv,"anyhow,at any rate,anyway,somehow or other,generally speaking,in any case"
どの,,pol,Mister (mostly in addressing someone on an envelope)
~どの,~殿,,
とばす,飛ばす,v5s,"to skip over,to omit"
とびこむ,飛び込む,v5m,"to jump in,to leap in,to plunge into,to dive"
とびだす,飛び出す,v5s,"to jump out,to rush out,to fly out"
とぶ,飛ぶ,v5b,"to jump,to fly,to leap"
とぶ,跳ぶ,v5b,"to jump,to fly,to leap"
とまる,止まる,v5r,to come to a halt
とまる,留まる,v5r,"(1) to be fixed,(2) to abide,to stay (in the one place)"
とまる,泊まる,v5r,to stay at (e.g. hotel)
とめる,止める,"v1,vt","to end,to stop,to cease,to resign"
とめる,留める,v1,"to fasten,to turn off,to detain"
とめる,泊める,v1,"to give shelter to,to lodge"
とも,友,n,"friend,companion,pal"
ともかく,,adv,"anyhow,anyway,somehow or other,generally speaking,in any case"
ともだち,友達,n,friend
ともに,共に,"adv,vs","sharing with,participate in"
どよう,土曜,"n-adv,n",Saturday
とら,虎,n,tiger
ドライブ,,n,"drive,trip by car,driving"
とらえる,捕える,v1,"to seize,to grasp,to capture,to arrest"
トラック,,n,"(1) truck,(2) (running) track"
ドラマ,,n,drama
トランプ,,n,playing cards (lit: trump)
とり,鳥,n,"bird,fowl,poultry"
とりあげる,取り上げる,v1,"to take up,to pick up,to disqualify,to confiscate,to deprive"
とりいれる,取り入れる,v1,"to harvest,to take in,to adopt"
とりかえる,取り替える,v1,"to exchange,to replace"
とりけす,取り消す,v5s,to cancel
とりだす,取り出す,v5s,"to take out,to produce,to pick out"
どりょく,努力,"n,vs","great effort,exertion,endeavour,effort"
とる,取る,v5r,"to take,to pick up,to harvest,to earn,to choose"
とる,採る,v5r,"(1) to adopt (measure, proposal),(2) to pick (fruit)"
とる,捕る,v5r,"to take,to catch (fish),to capture"
とる,撮る,v5r,"to take (a photo),to make (a film)"
どれ,どれ,n,"well,now,let me see,which (of three or more)"
トレーニング,,n,training
ドレス,,n,dress
とれる,取れる,v1,"to come off,to be taken off,to be removed"
どろ,泥,n,mud
どろぼう,泥棒,"n,vs","thief,burglar,robber,theft"
（1000,とん,n,ton
とんでもない,,"adj,exp","unexpected,offensive,What a thing to say!,No way!"
どんどん,,adv,"rapidly,steadily"
どんな,,"adj-na,adj-pn,n","what,what kind of"
どんなに,,adv,"how,how much"
トンネル,,n,tunnel
どんぶり,丼,n,"porcelain bowl,bowl of rice with food on top"
な,名,n,"name,reputation"
ない,無い,adj,"there isn't,doesn't have"
~ない,~内,,
ないか,内科,n,"internist clinic,internal medicine"
ないせん,内線,n,"phone extension,indoor wiring,inner line"
ナイフ,,n,knife
ないよう,内容,n,"subject,contents,matter,substance,detail,import"
